node_name,rate,origin_traffic,traffic,log_time
美国3a-付费节点,1,582851,569.19KB,2024-04-12 00:02:01
美国3a-付费节点,1,648155,632.96KB,2024-04-12 00:05:02
美国3a-付费节点,1,493116,481.56KB,2024-04-12 00:08:04
美国3a-付费节点,1,615785,601.35KB,2024-04-12 00:11:06
美国3a-付费节点,1,643321,628.24KB,2024-04-12 00:14:08
美国3a-付费节点,1,595778,581.81KB,2024-04-12 00:17:10
美国3a-付费节点,1,524546,512.25KB,2024-04-12 00:20:12
美国3a-付费节点,1,614217,599.82KB,2024-04-12 00:23:14
美国3a-付费节点,1,509563,497.62KB,2024-04-12 00:26:15
美国3a-付费节点,1,491580,480.06KB,2024-04-12 00:29:17
美国3a-付费节点,1,574761,561.29KB,2024-04-12 00:32:18
美国3a-付费节点,1,737601,720.31KB,2024-04-12 00:35:20
美国3a-付费节点,1,178533,174.35KB,2024-04-12 00:38:21
美国5a-付费节点,1,12809,12.51KB,2024-04-12 01:38:15
美国3a-付费节点,1,95581,93.34KB,2024-04-12 03:36:45
香港g1a-付费节点,1,41253706,39.34MB,2024-04-12 03:59:04
香港g1a-付费节点,1,39906816,38.06MB,2024-04-12 04:02:05
香港g1a-付费节点,1,28454205,27.14MB,2024-04-12 04:05:06
香港g1a-付费节点,1,28307482,27MB,2024-04-12 04:08:06
香港g1a-付费节点,1,12484598,11.91MB,2024-04-12 04:11:07
新加坡1b-付费节点,1,7131259,6.8MB,2024-04-12 09:16:26
新加坡1b-付费节点,1,8607845,8.21MB,2024-04-12 09:19:27
新加坡1b-付费节点,1,2141021,2.04MB,2024-04-12 09:22:27
新加坡1b-付费节点,1,378541,369.67KB,2024-04-12 09:25:28
新加坡1b-付费节点,1,74349,72.61KB,2024-04-12 09:28:29
新加坡1b-付费节点,1,64091,62.59KB,2024-04-12 09:31:30
美国5a-付费节点,1,12661,12.36KB,2024-04-12 09:32:33
新加坡1b-付费节点,1,172223,168.19KB,2024-04-12 09:34:30
新加坡1b-付费节点,1,3329514,3.18MB,2024-04-12 09:37:31
新加坡1b-付费节点,1,85903236,81.92MB,2024-04-12 09:40:32
新加坡1b-付费节点,1,133127801,126.96MB,2024-04-12 09:43:33
新加坡1b-付费节点,1,158102275,150.78MB,2024-04-12 09:46:34
新加坡1b-付费节点,1,50737235,48.39MB,2024-04-12 09:49:35
新加坡1b-付费节点,1,68426933,65.26MB,2024-04-12 09:52:35
新加坡1b-付费节点,1,45132160,43.04MB,2024-04-12 09:55:36
新加坡1b-付费节点,1,32844825,31.32MB,2024-04-12 09:58:37
新加坡1b-付费节点,1,29121554,27.77MB,2024-04-12 10:01:38
新加坡1b-付费节点,1,34915072,33.3MB,2024-04-12 10:04:39
新加坡1b-付费节点,1,40966061,39.07MB,2024-04-12 10:07:40
美国3a-付费节点,1,9088536,8.67MB,2024-04-12 10:09:53
新加坡1b-付费节点,1,39642763,37.81MB,2024-04-12 10:10:41
美国3a-付费节点,1,1613493,1.54MB,2024-04-12 10:12:55
新加坡1b-付费节点,1,43537515,41.52MB,2024-04-12 10:13:42
美国3a-付费节点,1,6247787,5.96MB,2024-04-12 10:15:57
新加坡1b-付费节点,1,40179006,38.32MB,2024-04-12 10:16:43
美国3a-付费节点,1,7131644,6.8MB,2024-04-12 10:18:59
新加坡1b-付费节点,1,36260878,34.58MB,2024-04-12 10:19:43
美国3a-付费节点,1,1214263,1.16MB,2024-04-12 10:22:01
新加坡1b-付费节点,1,36184637,34.51MB,2024-04-12 10:22:44
美国3a-付费节点,1,889032,868.2KB,2024-04-12 10:25:03
新加坡1b-付费节点,1,29530802,28.16MB,2024-04-12 10:25:45
美国3a-付费节点,1,967914,945.23KB,2024-04-12 10:28:05
美国3a-付费节点,1,4767052,4.55MB,2024-04-12 10:31:07
美国5a-付费节点,1,3811,3.72KB,2024-04-12 10:33:08
美国3a-付费节点,1,2994051,2.86MB,2024-04-12 10:34:08
美国5a-付费节点,1,6291,6.14KB,2024-04-12 10:36:10
美国3a-付费节点,1,862512,842.3KB,2024-04-12 10:37:10
新加坡1b-付费节点,1,14925318,14.23MB,2024-04-12 10:37:49
美国3a-付费节点,1,3540821,3.38MB,2024-04-12 10:40:12
新加坡1b-付费节点,1,2589772,2.47MB,2024-04-12 10:40:49
美国3a-付费节点,1,494259,482.67KB,2024-04-12 10:43:13
