node_name,rate,origin_traffic,traffic,log_time
美国4a-vip,1,19477825,18.58MB,2024-03-16 00:17:21
美国4a-vip,1,12025671,11.47MB,2024-03-16 00:20:23
美国4a-vip,1,12750423,12.16MB,2024-03-16 00:23:24
美国4a-vip,1,6666103,6.36MB,2024-03-16 00:26:26
美国4a-vip,1,5826836,5.56MB,2024-03-16 00:29:27
美国4a-vip,1,3271413,3.12MB,2024-03-16 00:32:29
美国4a-vip,1,35226,34.4KB,2024-03-16 00:35:30
美国4a-vip,1,332102,324.32KB,2024-03-16 00:38:32
香港g1a-vip,1,164541,160.68KB,2024-03-16 00:45:55
不限流量-美国2-vip,0,426,0B,2024-03-16 01:03:31
南非-vip,1,426,426B,2024-03-16 01:03:32
台湾2a-vip,1,852,852B,2024-03-16 01:03:38
台湾4a-vip,1,426,426B,2024-03-16 01:03:40
不限流量-美国3-vip,0,426,0B,2024-03-16 01:03:44
不限流量-日本-vip,0,426,0B,2024-03-16 01:03:57
香港g1a-vip,1,61535,60.09KB,2024-03-16 01:04:00
台湾0a-vip,1,852,852B,2024-03-16 01:04:05
不限流量-美国1-vip,0,426,0B,2024-03-16 01:04:23
台湾5a-vip,1,639,639B,2024-03-16 01:04:29
bt下载a-vip,1,852,852B,2024-03-16 01:04:34
印尼a-vip,1,639,639B,2024-03-16 01:04:48
台湾3a-vip,1,426,426B,2024-03-16 01:04:58
不限流量-法国3-vip,0,426,0B,2024-03-16 01:05:26
不限流量-法国2-vip,0,426,0B,2024-03-16 01:05:26
加国a-vip,1,852,852B,2024-03-16 01:05:58
俄国a-vip,1,852,852B,2024-03-16 01:06:19
土耳其b-vip,1,852,852B,2024-03-16 01:46:19
英国a-vip,1,426,426B,2024-03-16 01:46:36
美国4b-vip,1,426,426B,2024-03-16 01:46:43
日本1a-vip,1,852,852B,2024-03-16 01:46:46
越南a-vip,1,426,426B,2024-03-16 01:46:49
日本3a-vip,1,852,852B,2024-03-16 01:46:56
泰国a-vip,1,852,852B,2024-03-16 01:46:57
阿联酋a-vip,1,639,639B,2024-03-16 01:46:58
德国a-vip,1,852,852B,2024-03-16 01:46:58
新加坡3a-vip,1,1704,1.66KB,2024-03-16 01:47:01
美国3a-vip,1,426,426B,2024-03-16 01:47:02
法国2a-vip,1,852,852B,2024-03-16 01:47:07
美国1b-vip,1,426,426B,2024-03-16 01:47:10
新加坡2a-vip,1,852,852B,2024-03-16 01:47:13
日本5b-vip,1,852,852B,2024-03-16 01:47:23
日本7a-vip,1,852,852B,2024-03-16 01:47:27
马来西亚b-vip,1,426,426B,2024-03-16 01:47:29
法国1b-vip,1,852,852B,2024-03-16 01:47:43
澳洲a-vip,1,639,639B,2024-03-16 01:47:44
日本4a-vip,1,852,852B,2024-03-16 01:47:53
美国2a-vip,1,426,426B,2024-03-16 01:47:55
日本6b-vip,1,852,852B,2024-03-16 01:48:16
美国5a-vip,1,426,426B,2024-03-16 01:48:33
美国2b-vip,1,426,426B,2024-03-16 01:48:35
日本2a-vip,1,852,852B,2024-03-16 01:48:39
美国3b-vip,1,426,426B,2024-03-16 01:48:54
意大利a-vip,1,852,852B,2024-03-16 01:48:58
菲律宾a-vip,1,639,639B,2024-03-16 01:48:59
香港t1a-vip,1,852,852B,2024-03-16 01:49:03
美国1a-vip,1,426,426B,2024-03-16 01:49:10
香港g1a-vip,1,86564,84.54KB,2024-03-16 01:49:12
韩国b-vip,1,852,852B,2024-03-16 01:49:42
香港g2a-vip,1,1704,1.66KB,2024-03-16 01:49:47
香港g1a-vip,1,216138,211.07KB,2024-03-16 01:52:12
香港g1a-vip,1,49114,47.96KB,2024-03-16 02:49:25
香港g1a-vip,1,23022,22.48KB,2024-03-16 02:52:26
