node_name,rate,origin_traffic,traffic,log_time
美国3a-vip,1,205108,200.3KB,2024-03-23 00:12:32
美国3a-vip,1,29142337,27.79MB,2024-03-23 00:15:34
美国3a-vip,1,2760030,2.63MB,2024-03-23 00:18:37
美国3a-vip,1,703118,686.64KB,2024-03-23 00:21:38
澳洲a-vip,1,852,852B,2024-03-23 00:23:38
日本4a-vip,1,852,852B,2024-03-23 00:23:41
菲律宾a-vip,1,852,852B,2024-03-23 00:23:47
美国4a-vip,1,426,426B,2024-03-23 00:23:50
bt下载a-vip,1,852,852B,2024-03-23 00:23:51
日本2a-vip,1,852,852B,2024-03-23 00:24:01
泰国a-vip,1,852,852B,2024-03-23 00:24:06
日本1a-vip,1,852,852B,2024-03-23 00:24:10
新加坡2a-vip,1,852,852B,2024-03-23 00:24:13
越南a-vip,1,852,852B,2024-03-23 00:24:14
不限流量-法国1-vip,0,426,0B,2024-03-23 00:24:17
台湾3a-vip,1,852,852B,2024-03-23 00:24:18
新加坡3a-vip,1,1278,1.25KB,2024-03-23 00:24:27
阿根廷b-vip,1,852,852B,2024-03-23 00:24:28
法国2a-vip,1,852,852B,2024-03-23 00:24:29
土耳其b-vip,1,852,852B,2024-03-23 00:24:30
英国a-vip,1,852,852B,2024-03-23 00:24:32
阿联酋a-vip,1,852,852B,2024-03-23 00:24:34
印尼a-vip,1,852,852B,2024-03-23 00:24:34
台湾0a-vip,1,852,852B,2024-03-23 00:24:34
台湾4a-vip,1,852,852B,2024-03-23 00:24:37
美国4b-vip,1,426,426B,2024-03-23 00:24:40
美国3a-vip,1,133037,129.92KB,2024-03-23 00:24:40
加国a-vip,1,852,852B,2024-03-23 00:24:44
不限流量-日本-vip,0,426,0B,2024-03-23 00:24:46
日本7a-vip,1,852,852B,2024-03-23 00:24:49
南非-vip,1,426,426B,2024-03-23 00:24:59
香港t1a-vip,1,852,852B,2024-03-23 00:25:06
法国1b-vip,1,852,852B,2024-03-23 00:25:08
不限流量-美国1-vip,0,426,0B,2024-03-23 00:25:09
香港g2a-vip,1,852,852B,2024-03-23 00:25:20
台湾2a-vip,1,852,852B,2024-03-23 00:25:22
意大利a-vip,1,852,852B,2024-03-23 00:25:27
美国3b-vip,1,426,426B,2024-03-23 00:25:28
不限流量-美国2-vip,0,426,0B,2024-03-23 00:25:31
日本6b-vip,1,852,852B,2024-03-23 00:25:31
德国a-vip,1,852,852B,2024-03-23 00:25:41
美国5a-vip,1,426,426B,2024-03-23 00:25:42
日本5b-vip,1,852,852B,2024-03-23 00:25:44
俄国a-vip,1,852,852B,2024-03-23 00:25:46
马来西亚b-vip,1,852,852B,2024-03-23 00:25:50
不限流量-法国2-vip,0,426,0B,2024-03-23 00:25:58
美国2b-vip,1,426,426B,2024-03-23 00:25:58
美国1b-vip,1,426,426B,2024-03-23 00:26:05
美国1a-vip,1,461020,450.21KB,2024-03-23 00:26:05
