node_name,rate,origin_traffic,traffic,log_time
不限流量-美国2-vip,0,5605,0B,2024-03-04 00:20:38
美国2a-vip,1,564,564B,2024-03-04 00:21:24
不限流量-美国2-vip,0,5605,0B,2024-03-04 00:23:39
香港g1a-vip,1,71078,69.41KB,2024-03-04 00:23:56
美国2a-vip,1,188,188B,2024-03-04 00:24:25
美国2a-vip,1,376,376B,2024-03-04 02:22:20
美国2a-vip,1,46850,45.75KB,2024-03-04 02:25:21
美国2a-vip,1,33432,32.65KB,2024-03-04 02:40:28
美国2a-vip,1,188,188B,2024-03-04 02:43:29
美国2a-vip,1,188,188B,2024-03-04 02:46:30
香港g1a-vip,1,28326,27.66KB,2024-03-04 03:04:21
美国2a-vip,1,95118,92.89KB,2024-03-04 03:04:37
美国2a-vip,1,132559,129.45KB,2024-03-04 03:22:43
不限流量-美国2-vip,0,32236,0B,2024-03-04 03:24:32
香港g1a-vip,1,34799,33.98KB,2024-03-04 03:25:25
美国2a-vip,1,103919,101.48KB,2024-03-04 03:25:45
美国2a-vip,1,14895,14.55KB,2024-03-04 05:27:31
美国2a-vip,1,75647,73.87KB,2024-03-04 05:45:38
不限流量-美国2-vip,0,22174,0B,2024-03-04 05:46:07
香港g1a-vip,1,249898,244.04KB,2024-03-04 05:46:50
美国2a-vip,1,376,376B,2024-03-04 06:00:44
香港g1a-vip,1,61576,60.13KB,2024-03-04 06:01:53
美国2a-vip,1,188,188B,2024-03-04 06:03:46
美国2a-vip,1,16115,15.74KB,2024-03-04 06:18:52
美国2a-vip,1,472955,461.87KB,2024-03-04 06:21:53
香港g1a-vip,1,447128,436.65KB,2024-03-04 06:38:29
美国2a-vip,1,27921,27.27KB,2024-03-04 06:40:00
香港g1a-vip,1,20419,19.94KB,2024-03-04 06:41:29
美国2a-vip,1,51852,50.64KB,2024-03-04 07:58:31
香港g1a-vip,1,90532,88.41KB,2024-03-04 07:59:44
美国2a-vip,1,14279,13.94KB,2024-03-04 08:01:32
美国2a-vip,1,33435,32.65KB,2024-03-04 08:16:38
香港g1a-vip,1,209099,204.2KB,2024-03-04 08:17:48
印尼a-vip,1,11147863,10.63MB,2024-03-04 08:18:06
美国2a-vip,1,53980,52.71KB,2024-03-04 08:19:39
香港g1a-vip,1,4955,4.84KB,2024-03-04 08:20:48
印尼a-vip,1,54337677,51.82MB,2024-03-04 08:21:07
印尼a-vip,1,60836100,58.02MB,2024-03-04 08:24:07
印尼a-vip,1,42873318,40.89MB,2024-03-04 08:27:07
印尼a-vip,1,48421022,46.18MB,2024-03-04 08:30:07
印尼a-vip,1,41794230,39.86MB,2024-03-04 08:33:08
印尼a-vip,1,46616683,44.46MB,2024-03-04 08:36:08
印尼a-vip,1,48878067,46.61MB,2024-03-04 08:39:08
印尼a-vip,1,74216607,70.78MB,2024-03-04 08:42:09
印尼a-vip,1,86520376,82.51MB,2024-03-04 08:45:09
印尼a-vip,1,78001607,74.39MB,2024-03-04 08:48:10
印度a-vip,1,1636503,1.56MB,2024-03-04 09:00:27
印度a-vip,1,6168531,5.88MB,2024-03-04 09:03:28
印度a-vip,1,14095679,13.44MB,2024-03-04 09:06:29
印度a-vip,1,80536,78.65KB,2024-03-04 09:09:30
印度a-vip,1,68604,67KB,2024-03-04 09:12:31
印度a-vip,1,109478,106.91KB,2024-03-04 09:15:32
印度a-vip,1,61353,59.92KB,2024-03-04 09:18:32
印度a-vip,1,45927,44.85KB,2024-03-04 09:21:33
美国4a-vip,1,3000019,2.86MB,2024-03-04 09:21:56
印度a-vip,1,155423,151.78KB,2024-03-04 09:24:34
美国4a-vip,1,121550,118.7KB,2024-03-04 09:24:58
印度a-vip,1,59740,58.34KB,2024-03-04 09:27:35
印度a-vip,1,54866,53.58KB,2024-03-04 09:30:36
印度a-vip,1,110598,108.01KB,2024-03-04 09:33:37
印度a-vip,1,44973,43.92KB,2024-03-04 09:36:38
印度a-vip,1,58942,57.56KB,2024-03-04 09:39:39
印度a-vip,1,47877,46.75KB,2024-03-04 09:42:40
印度a-vip,1,58201,56.84KB,2024-03-04 09:45:41
印度a-vip,1,63486,62KB,2024-03-04 09:48:42
印度a-vip,1,107980797,102.98MB,2024-03-04 09:51:43
印度a-vip,1,51951543,49.54MB,2024-03-04 09:54:43
印度a-vip,1,5535,5.41KB,2024-03-04 09:57:44
美国2a-vip,1,219255,214.12KB,2024-03-04 09:59:31
印度a-vip,1,171655,167.63KB,2024-03-04 10:06:47
印度a-vip,1,139289,136.02KB,2024-03-04 10:09:48
印度a-vip,1,45859,44.78KB,2024-03-04 10:12:49
美国2a-vip,1,476275,465.11KB,2024-03-04 10:14:39
