node_name,rate,origin_traffic,traffic,log_time
美国2a-付费节点,1,11836968,11.29MB,2024-12-18 00:03:13
美国3a-付费节点,1,22387,21.86KB,2024-12-18 00:03:51
美国2a-付费节点,1,9906949,9.45MB,2024-12-18 00:06:14
美国2a-付费节点,1,7778769,7.42MB,2024-12-18 00:09:15
美国2a-付费节点,1,8269544,7.89MB,2024-12-18 00:12:16
美国2a-付费节点,1,13863202,13.22MB,2024-12-18 00:15:17
美国3a-付费节点,1,14046,13.72KB,2024-12-18 00:15:55
美国2a-付费节点,1,8728643,8.32MB,2024-12-18 00:18:18
美国3a-付费节点,1,76,76B,2024-12-18 00:18:56
美国2a-付费节点,1,8417276,8.03MB,2024-12-18 00:21:19
美国2a-付费节点,1,10421222,9.94MB,2024-12-18 00:24:20
美国2a-付费节点,1,11023697,10.51MB,2024-12-18 00:27:21
美国2a-付费节点,1,2980531,2.84MB,2024-12-18 00:30:22
美国2a-付费节点,1,1062312,1.01MB,2024-12-18 00:33:23
美国3a-付费节点,1,9787,9.56KB,2024-12-18 00:34:01
美国2a-付费节点,1,753571,735.91KB,2024-12-18 00:36:24
美国2a-付费节点,1,686072,669.99KB,2024-12-18 00:39:25
美国2a-付费节点,1,714682,697.93KB,2024-12-18 00:42:27
美国2a-付费节点,1,392295,383.1KB,2024-12-18 00:45:28
美国2a-付费节点,1,280446,273.87KB,2024-12-18 00:48:29
美国3a-付费节点,1,24462,23.89KB,2024-12-18 00:49:07
美国2a-付费节点,1,256314,250.31KB,2024-12-18 01:06:35
美国3a-付费节点,1,14092,13.76KB,2024-12-18 01:07:12
台湾5a-付费节点,1,852,852B,2024-12-18 01:10:39
香港t3a-付费节点,1,426,426B,2024-12-18 01:10:43
新疆专用-香港t1,1,213,213B,2024-12-18 01:10:44
日本4a-付费节点,1,426,426B,2024-12-18 01:10:55
eu-英国a-付费节点,1,426,426B,2024-12-18 01:10:59
eu-意大利a-付费节点,1,426,426B,2024-12-18 01:11:00
台湾1a-付费节点,1,213,213B,2024-12-18 01:11:02
台湾2a-付费节点,1,213,213B,2024-12-18 01:11:10
新加坡2a-付费节点,1,426,426B,2024-12-18 01:11:12
加国a-付费节点,1,426,426B,2024-12-18 01:11:15
美国6a-付费节点,1,426,426B,2024-12-18 01:11:16
eu-法国2a-付费节点,1,426,426B,2024-12-18 01:11:18
日本7a-付费节点,1,426,426B,2024-12-18 01:11:20
日本3a-付费节点,1,426,426B,2024-12-18 01:11:23
dny-越南a-付费节点,1,426,426B,2024-12-18 01:11:24
新加坡3a-付费节点,1,426,426B,2024-12-18 01:11:32
eu-法国1b-付费节点,1,426,426B,2024-12-18 01:11:34
eu-德国a-付费节点,1,426,426B,2024-12-18 01:11:40
美国4b-付费节点,1,426,426B,2024-12-18 01:11:47
香港g3b-付费节点,1,213,213B,2024-12-18 01:11:51
韩国b-付费节点,1,426,426B,2024-12-18 01:11:57
eu-bt下载b-付费节点,1,426,426B,2024-12-18 01:12:02
土耳其b-付费节点,1,426,426B,2024-12-18 01:12:03
澳洲a-付费节点,1,426,426B,2024-12-18 01:12:05
dny-泰国b-付费节点,1,426,426B,2024-12-18 01:12:06
新加坡1b-付费节点,1,426,426B,2024-12-18 01:12:07
阿联酋a-付费节点,1,426,426B,2024-12-18 01:12:08
美国1s-付费节点,1,213,213B,2024-12-18 01:12:09
日本5b-付费节点,1,426,426B,2024-12-18 01:12:23
香港g2b-付费节点,1,213,213B,2024-12-18 01:12:26
台湾4a-付费节点,1,639,639B,2024-12-18 01:12:26
美国1b-付费节点,1,426,426B,2024-12-18 01:12:32
美国2a-付费节点,1,18176702,17.33MB,2024-12-18 01:12:37
日本6a-付费节点,1,426,426B,2024-12-18 01:12:44
香港t1a-付费节点,1,639,639B,2024-12-18 01:12:46
香港g1a-付费节点,1,213,213B,2024-12-18 01:12:52
日本1a-付费节点,1,426,426B,2024-12-18 01:12:59
美国5a-付费节点,1,426,426B,2024-12-18 01:13:08
香港g2a-付费节点,1,213,213B,2024-12-18 01:13:11
eu-乌克兰a-付费节点,1,426,426B,2024-12-18 01:13:12
美国3a-付费节点,1,426,426B,2024-12-18 01:13:14
台湾3a-付费节点,1,213,213B,2024-12-18 01:13:21
香港g3a-付费节点,1,213,213B,2024-12-18 01:13:24
3倍率-dny-菲律宾b-付费节点,3,426,1.25KB,2024-12-18 01:13:30
日本2a-付费节点,1,426,426B,2024-12-18 01:13:36
美国2a-付费节点,1,13644389,13.01MB,2024-12-18 01:15:38
美国2a-付费节点,1,67580459,64.45MB,2024-12-18 01:18:39
美国3a-付费节点,1,21836,21.32KB,2024-12-18 01:19:16
美国2a-付费节点,1,11695083,11.15MB,2024-12-18 01:21:39
美国2a-付费节点,1,14255483,13.6MB,2024-12-18 01:24:40
美国2a-付费节点,1,22261907,21.23MB,2024-12-18 01:27:41
美国2a-付费节点,1,22043022,21.02MB,2024-12-18 01:30:42
美国2a-付费节点,1,23849804,22.74MB,2024-12-18 01:33:43
美国3a-付费节点,1,21811,21.3KB,2024-12-18 01:34:21
美国2a-付费节点,1,10484038,10MB,2024-12-18 01:36:43
美国2a-付费节点,1,9750,9.52KB,2024-12-18 01:39:44
美国2a-付费节点,1,13369,13.06KB,2024-12-18 01:42:45
美国2a-付费节点,1,1110744,1.06MB,2024-12-18 01:51:47
美国3a-付费节点,1,14068,13.74KB,2024-12-18 01:52:27
美国2a-付费节点,1,8209,8.02KB,2024-12-18 01:54:47
美国2a-付费节点,1,338769,330.83KB,2024-12-18 01:57:48
美国2a-付费节点,1,38024,37.13KB,2024-12-18 02:03:50
美国2a-付费节点,1,4644,4.54KB,2024-12-18 02:06:50
美国3a-付费节点,1,18230,17.8KB,2024-12-18 02:07:31
美国2a-付费节点,1,411667,402.02KB,2024-12-18 02:09:51
