node_name,rate,origin_traffic,traffic,log_time
美国3a-vip,1,28600,27.93KB,2024-03-19 01:01:37
新加坡2a-vip,1,6713927,6.4MB,2024-03-19 09:09:14
新加坡2a-vip,1,703991,687.49KB,2024-03-19 09:10:14
新加坡2a-vip,1,1652079,1.58MB,2024-03-19 09:11:14
新加坡2a-vip,1,36042,35.2KB,2024-03-19 09:12:15
新加坡2a-vip,1,11912,11.63KB,2024-03-19 09:13:15
新加坡2a-vip,1,28081,27.42KB,2024-03-19 09:14:15
新加坡2a-vip,1,380994,372.06KB,2024-03-19 09:15:15
新加坡2a-vip,1,17541,17.13KB,2024-03-19 09:16:16
新加坡2a-vip,1,23406,22.86KB,2024-03-19 09:17:16
新加坡2a-vip,1,64676,63.16KB,2024-03-19 09:18:16
新加坡2a-vip,1,34539,33.73KB,2024-03-19 09:19:16
新加坡2a-vip,1,530599,518.16KB,2024-03-19 09:20:17
新加坡2a-vip,1,148374,144.9KB,2024-03-19 09:21:17
新加坡2a-vip,1,17258,16.85KB,2024-03-19 09:22:17
新加坡2a-vip,1,1404820,1.34MB,2024-03-19 09:23:18
新加坡2a-vip,1,13580,13.26KB,2024-03-19 09:24:18
新加坡2a-vip,1,18112,17.69KB,2024-03-19 09:25:18
新加坡2a-vip,1,19489,19.03KB,2024-03-19 09:26:18
新加坡2a-vip,1,10865,10.61KB,2024-03-19 09:27:19
新加坡2a-vip,1,23891,23.33KB,2024-03-19 09:28:19
新加坡2a-vip,1,10922,10.67KB,2024-03-19 09:29:19
新加坡2a-vip,1,18468,18.04KB,2024-03-19 09:30:20
新加坡2a-vip,1,9887,9.66KB,2024-03-19 09:31:20
新加坡2a-vip,1,7406,7.23KB,2024-03-19 09:32:20
新加坡2a-vip,1,29945,29.24KB,2024-03-19 09:33:21
新加坡2a-vip,1,13450,13.13KB,2024-03-19 09:34:21
新加坡2a-vip,1,52573,51.34KB,2024-03-19 09:35:21
新加坡2a-vip,1,35088,34.27KB,2024-03-19 09:36:22
新加坡2a-vip,1,10844,10.59KB,2024-03-19 09:37:22
新加坡2a-vip,1,13696,13.38KB,2024-03-19 09:38:22
新加坡2a-vip,1,12880,12.58KB,2024-03-19 09:39:23
新加坡2a-vip,1,40686,39.73KB,2024-03-19 09:40:23
新加坡2a-vip,1,41030,40.07KB,2024-03-19 09:41:23
新加坡2a-vip,1,25256,24.66KB,2024-03-19 09:42:24
新加坡2a-vip,1,33308,32.53KB,2024-03-19 09:43:24
新加坡2a-vip,1,68574,66.97KB,2024-03-19 09:44:24
新加坡2a-vip,1,198935,194.27KB,2024-03-19 09:45:24
新加坡2a-vip,1,16524,16.14KB,2024-03-19 09:46:25
新加坡2a-vip,1,10191,9.95KB,2024-03-19 09:47:25
新加坡2a-vip,1,14148,13.82KB,2024-03-19 09:48:25
新加坡2a-vip,1,31198,30.47KB,2024-03-19 09:49:25
新加坡2a-vip,1,62611,61.14KB,2024-03-19 09:50:26
新加坡2a-vip,1,11404,11.14KB,2024-03-19 09:51:26
新加坡2a-vip,1,14299,13.96KB,2024-03-19 09:52:26
新加坡2a-vip,1,16218,15.84KB,2024-03-19 09:53:27
新加坡2a-vip,1,14265,13.93KB,2024-03-19 09:54:27
新加坡2a-vip,1,11404,11.14KB,2024-03-19 09:55:27
新加坡2a-vip,1,14210,13.88KB,2024-03-19 09:56:28
新加坡2a-vip,1,20054,19.58KB,2024-03-19 09:57:28
新加坡2a-vip,1,55620,54.32KB,2024-03-19 09:58:28
新加坡2a-vip,1,11396,11.13KB,2024-03-19 09:59:29
新加坡2a-vip,1,16347,15.96KB,2024-03-19 10:00:29
新加坡2a-vip,1,99107,96.78KB,2024-03-19 10:01:29
新加坡2a-vip,1,23646327,22.55MB,2024-03-19 10:02:30
新加坡2a-vip,1,14283486,13.62MB,2024-03-19 10:03:30
新加坡2a-vip,1,16309,15.93KB,2024-03-19 10:04:30
新加坡2a-vip,1,146447,143.01KB,2024-03-19 10:05:31
新加坡2a-vip,1,16320,15.94KB,2024-03-19 10:06:31
新加坡2a-vip,1,11526,11.26KB,2024-03-19 10:07:31
新加坡2a-vip,1,22196,21.68KB,2024-03-19 10:08:31
澳洲a-vip,1,852,852B,2024-03-19 10:09:07
美国5a-vip,1,426,426B,2024-03-19 10:09:08
日本5b-vip,1,852,852B,2024-03-19 10:09:09
台湾5a-vip,1,852,852B,2024-03-19 10:09:10
