node_name,rate,origin_traffic,traffic,log_time
美国1a-vip,1,370631,361.94KB,2024-03-24 01:26:39
美国1a-vip,1,102315,99.92KB,2024-03-24 01:29:41
美国1a-vip,1,248646,242.82KB,2024-03-24 01:44:47
美国1a-vip,1,23619,23.07KB,2024-03-24 01:47:48
美国1a-vip,1,235245,229.73KB,2024-03-24 03:48:42
美国1a-vip,1,197378,192.75KB,2024-03-24 03:51:44
美国1a-vip,1,97285,95KB,2024-03-24 04:06:50
美国1a-vip,1,20733,20.25KB,2024-03-24 04:09:52
美国1a-vip,1,30958,30.23KB,2024-03-24 04:58:13
美国1a-vip,1,153727,150.12KB,2024-03-24 05:01:15
美国1a-vip,1,15726993,15MB,2024-03-24 05:37:31
美国1a-vip,1,225614,220.33KB,2024-03-24 05:40:32
美国1a-vip,1,54262,52.99KB,2024-03-24 06:01:41
美国1a-vip,1,252144,246.23KB,2024-03-24 06:04:42
香港t1a-vip,1,25964103,24.76MB,2024-03-24 07:10:44
香港t1a-vip,1,58890805,56.16MB,2024-03-24 07:13:45
香港t1a-vip,1,61788921,58.93MB,2024-03-24 07:16:45
香港t1a-vip,1,59916399,57.14MB,2024-03-24 07:19:46
香港t1a-vip,1,91534533,87.29MB,2024-03-24 07:22:47
香港t1a-vip,1,88970215,84.85MB,2024-03-24 07:25:47
香港t1a-vip,1,64069339,61.1MB,2024-03-24 07:28:48
香港t1a-vip,1,52274612,49.85MB,2024-03-24 07:31:48
香港t1a-vip,1,72218531,68.87MB,2024-03-24 07:34:49
香港t1a-vip,1,66355135,63.28MB,2024-03-24 07:37:50
美国1a-vip,1,454580,443.93KB,2024-03-24 07:38:22
香港t1a-vip,1,55497740,52.93MB,2024-03-24 07:40:50
美国1a-vip,1,348,348B,2024-03-24 07:41:24
香港t1a-vip,1,66328747,63.26MB,2024-03-24 07:43:51
香港t1a-vip,1,32050963,30.57MB,2024-03-24 07:46:51
香港t1a-vip,1,9249093,8.82MB,2024-03-24 07:49:52
香港t1a-vip,1,85600,83.59KB,2024-03-24 07:52:52
香港t1a-vip,1,80405,78.52KB,2024-03-24 07:55:53
香港t1a-vip,1,93167,90.98KB,2024-03-24 07:58:54
香港t1a-vip,1,92714,90.54KB,2024-03-24 08:01:54
香港t1a-vip,1,161270,157.49KB,2024-03-24 08:04:55
香港t1a-vip,1,76449,74.66KB,2024-03-24 08:07:55
香港t1a-vip,1,361434,352.96KB,2024-03-24 08:10:56
香港t1a-vip,1,86146,84.13KB,2024-03-24 08:13:57
香港t1a-vip,1,76591,74.8KB,2024-03-24 08:16:57
香港t1a-vip,1,123109,120.22KB,2024-03-24 08:19:58
香港t1a-vip,1,98781,96.47KB,2024-03-24 08:22:59
香港t1a-vip,1,114045,111.37KB,2024-03-24 08:25:59
香港t1a-vip,1,94068,91.86KB,2024-03-24 08:29:00
香港t1a-vip,1,93159,90.98KB,2024-03-24 08:32:00
香港t1a-vip,1,248163,242.35KB,2024-03-24 08:35:01
香港t1a-vip,1,82369,80.44KB,2024-03-24 08:38:02
美国1a-vip,1,227901,222.56KB,2024-03-24 08:38:48
香港t1a-vip,1,136081,132.89KB,2024-03-24 08:41:02
美国1a-vip,1,51075,49.88KB,2024-03-24 08:41:50
香港t1a-vip,1,92911,90.73KB,2024-03-24 08:44:03
美国1a-vip,1,2090581,1.99MB,2024-03-24 08:44:51
香港t1a-vip,1,66990,65.42KB,2024-03-24 08:47:04
美国1a-vip,1,21156623,20.18MB,2024-03-24 08:47:52
香港t1a-vip,1,46233,45.15KB,2024-03-24 08:50:04
美国1a-vip,1,11167276,10.65MB,2024-03-24 08:50:54
美国1a-vip,1,51501992,49.12MB,2024-03-24 08:53:55
美国1a-vip,1,33880419,32.31MB,2024-03-24 08:56:56
美国1a-vip,1,38567873,36.78MB,2024-03-24 08:59:58
美国1a-vip,1,38151345,36.38MB,2024-03-24 09:02:59
美国1a-vip,1,33329908,31.79MB,2024-03-24 09:06:00
美国3a-vip,1,3356487,3.2MB,2024-03-24 09:07:41
美国1a-vip,1,588384,574.59KB,2024-03-24 09:09:02
美国3a-vip,1,2869107,2.74MB,2024-03-24 09:10:42
美国1a-vip,1,1346494,1.28MB,2024-03-24 09:12:03
美国3a-vip,1,101838594,97.12MB,2024-03-24 09:13:44
美国1a-vip,1,600538,586.46KB,2024-03-24 09:15:04
美国3a-vip,1,5918951,5.64MB,2024-03-24 09:16:45
美国1a-vip,1,362769,354.27KB,2024-03-24 09:18:06
美国3a-vip,1,762244,744.38KB,2024-03-24 09:19:47
美国3a-vip,1,6720261,6.41MB,2024-03-24 09:22:48
美国3a-vip,1,3661051,3.49MB,2024-03-24 09:25:49
美国3a-vip,1,3260045,3.11MB,2024-03-24 09:28:51
美国3a-vip,1,29314726,27.96MB,2024-03-24 09:31:52
美国1a-vip,1,1102596,1.05MB,2024-03-24 09:33:12
美国3a-vip,1,15715739,14.99MB,2024-03-24 09:34:53
美国3a-vip,1,494500,482.91KB,2024-03-24 09:37:55
美国3a-vip,1,360359,351.91KB,2024-03-24 09:40:56
美国3a-vip,1,522008,509.77KB,2024-03-24 09:43:58
美国3a-vip,1,340236,332.26KB,2024-03-24 09:46:59
美国3a-vip,1,420380,410.53KB,2024-03-24 09:50:01
美国1a-vip,1,389669,380.54KB,2024-03-24 09:51:21
美国3a-vip,1,408012,398.45KB,2024-03-24 09:53:02
美国3a-vip,1,312679,305.35KB,2024-03-24 09:56:03
