node_name,rate,origin_traffic,traffic,log_time
美国3a-VIP,1,285478,278.79KB,2024-02-03 00:02:25
美国1b-VIP,1,15419,15.06KB,2024-02-03 00:03:49
香港g1a-VIP,1,339665,331.7KB,2024-02-03 00:03:49
美国3a-VIP,1,86331,84.31KB,2024-02-03 00:05:26
香港g1a-VIP,1,339779,331.82KB,2024-02-03 00:06:50
美国1b-VIP,1,20747,20.26KB,2024-02-03 00:06:50
美国3a-VIP,1,77981,76.15KB,2024-02-03 00:08:28
香港g1a-VIP,1,348297,340.13KB,2024-02-03 00:09:51
美国1b-VIP,1,15546,15.18KB,2024-02-03 00:09:52
美国3a-VIP,1,66289,64.74KB,2024-02-03 00:11:30
美国1b-VIP,1,15482,15.12KB,2024-02-03 00:12:54
美国3a-VIP,1,1430707,1.36MB,2024-02-03 00:14:31
美国1b-VIP,1,42022,41.04KB,2024-02-03 00:15:55
香港g1a-VIP,1,175639,171.52KB,2024-02-03 00:17:13
不限流量-美国2-VIP,0,2221,0B,2024-02-03 00:17:18
美国3a-VIP,1,73324,71.61KB,2024-02-03 00:17:33
美国1b-VIP,1,16045,15.67KB,2024-02-03 00:18:57
香港g1a-VIP,1,339603,331.64KB,2024-02-03 00:20:16
美国3a-VIP,1,59195,57.81KB,2024-02-03 00:20:34
美国1b-VIP,1,31538,30.8KB,2024-02-03 00:21:58
香港g1a-VIP,1,345344,337.25KB,2024-02-03 00:23:17
美国3a-VIP,1,80979,79.08KB,2024-02-03 00:23:36
美国1b-VIP,1,15423,15.06KB,2024-02-03 00:25:00
香港g1a-VIP,1,339258,331.31KB,2024-02-03 00:26:17
美国3a-VIP,1,152812,149.23KB,2024-02-03 00:26:37
美国1b-VIP,1,20751,20.26KB,2024-02-03 00:28:01
香港g1a-VIP,1,347235,339.1KB,2024-02-03 00:29:18
美国3a-VIP,1,59252,57.86KB,2024-02-03 00:29:39
美国1b-VIP,1,22505,21.98KB,2024-02-03 00:31:03
香港g1a-VIP,1,343017,334.98KB,2024-02-03 00:32:19
美国3a-VIP,1,2296269,2.19MB,2024-02-03 00:32:40
美国1b-VIP,1,20753,20.27KB,2024-02-03 00:34:04
香港g1a-VIP,1,345797,337.69KB,2024-02-03 00:35:20
美国3a-VIP,1,132760,129.65KB,2024-02-03 00:35:42
美国1b-VIP,1,15419,15.06KB,2024-02-03 00:37:05
香港g1a-VIP,1,352938,344.67KB,2024-02-03 00:38:21
美国3a-VIP,1,51809,50.59KB,2024-02-03 00:38:43
美国1b-VIP,1,15610,15.24KB,2024-02-03 00:40:07
香港g1a-VIP,1,358905,350.49KB,2024-02-03 00:41:21
美国3a-VIP,1,56686,55.36KB,2024-02-03 00:41:44
美国1b-VIP,1,20688,20.2KB,2024-02-03 00:43:08
香港g1a-VIP,1,265727,259.5KB,2024-02-03 00:44:22
美国3a-VIP,1,79376,77.52KB,2024-02-03 00:44:46
美国1b-VIP,1,15421,15.06KB,2024-02-03 00:46:09
香港g1a-VIP,1,333695,325.87KB,2024-02-03 00:47:23
美国3a-VIP,1,35772,34.93KB,2024-02-03 00:47:47
美国1b-VIP,1,38817,37.91KB,2024-02-03 00:49:11
香港g1a-VIP,1,355417,347.09KB,2024-02-03 00:50:25
美国1b-VIP,1,15425,15.06KB,2024-02-03 00:52:12
香港g1a-VIP,1,340132,332.16KB,2024-02-03 00:53:25
美国1b-VIP,1,15610,15.24KB,2024-02-03 00:55:14
香港g1a-VIP,1,340961,332.97KB,2024-02-03 00:56:26
美国3a-VIP,1,133364,130.24KB,2024-02-03 00:56:51
美国1b-VIP,1,10351,10.11KB,2024-02-03 00:58:15
香港g1a-VIP,1,341733,333.72KB,2024-02-03 00:59:27
美国3a-VIP,1,31257,30.52KB,2024-02-03 00:59:52
美国1b-VIP,1,32916,32.14KB,2024-02-03 01:01:16
香港g1a-VIP,1,341280,333.28KB,2024-02-03 01:02:27
美国3a-VIP,1,197134,192.51KB,2024-02-03 01:02:54
美国1b-VIP,1,15422,15.06KB,2024-02-03 01:04:17
香港g1a-VIP,1,353053,344.78KB,2024-02-03 01:05:28
美国3a-VIP,1,112936,110.29KB,2024-02-03 01:05:55
美国1b-VIP,1,26165,25.55KB,2024-02-03 01:07:19
香港g1a-VIP,1,429002,418.95KB,2024-02-03 01:08:28
美国1b-VIP,1,15418,15.06KB,2024-02-03 01:10:20
香港g1a-VIP,1,350523,342.31KB,2024-02-03 01:11:29
美国1b-VIP,1,56594,55.27KB,2024-02-03 01:13:22
香港g1a-VIP,1,386171,377.12KB,2024-02-03 01:14:30
美国1b-VIP,1,34971,34.15KB,2024-02-03 01:16:25
香港g1a-VIP,1,347413,339.27KB,2024-02-03 01:17:31
不限流量-美国2-VIP,0,2242,0B,2024-02-03 01:17:45
美国1b-VIP,1,21185,20.69KB,2024-02-03 01:19:27
香港g1a-VIP,1,334854,327.01KB,2024-02-03 01:20:31
美国1b-VIP,1,33163,32.39KB,2024-02-03 01:22:28
香港g1a-VIP,1,334550,326.71KB,2024-02-03 01:23:32
美国1b-VIP,1,10280,10.04KB,2024-02-03 01:25:29
香港g1a-VIP,1,334503,326.66KB,2024-02-03 01:26:33
美国1b-VIP,1,20749,20.26KB,2024-02-03 01:28:31
香港g1a-VIP,1,335563,327.7KB,2024-02-03 01:29:33
美国1b-VIP,1,15423,15.06KB,2024-02-03 01:31:32
香港g1a-VIP,1,348573,340.4KB,2024-02-03 01:32:34
美国1b-VIP,1,32945,32.17KB,2024-02-03 01:34:38
香港g1a-VIP,1,347720,339.57KB,2024-02-03 01:35:34
美国1b-VIP,1,18608,18.17KB,2024-02-03 01:37:40
香港g1a-VIP,1,340867,332.88KB,2024-02-03 01:38:35
美国1b-VIP,1,54602,53.32KB,2024-02-03 01:40:41
香港g1a-VIP,1,340323,332.35KB,2024-02-03 01:41:36
美国1b-VIP,1,20686,20.2KB,2024-02-03 01:43:42
香港g1a-VIP,1,340592,332.61KB,2024-02-03 01:44:36
美国1b-VIP,1,15485,15.12KB,2024-02-03 01:46:44
香港g1a-VIP,1,347414,339.27KB,2024-02-03 01:47:37
美国1b-VIP,1,15605,15.24KB,2024-02-03 01:49:45
香港g1a-VIP,1,355006,346.69KB,2024-02-03 01:50:38
美国1b-VIP,1,15418,15.06KB,2024-02-03 01:52:46
香港g1a-VIP,1,334170,326.34KB,2024-02-03 01:53:38
美国1b-VIP,1,28022,27.37KB,2024-02-03 01:55:47
香港g1a-VIP,1,252187,246.28KB,2024-02-03 01:56:39
美国1b-VIP,1,26163,25.55KB,2024-02-03 02:01:50
香港g1a-VIP,1,352643,344.38KB,2024-02-03 02:02:40
美国1b-VIP,1,26214,25.6KB,2024-02-03 02:04:51
香港g1a-VIP,1,340174,332.2KB,2024-02-03 02:05:41
美国1b-VIP,1,32938,32.17KB,2024-02-03 02:07:52
香港g1a-VIP,1,334040,326.21KB,2024-02-03 02:08:42
美国1b-VIP,1,10280,10.04KB,2024-02-03 02:10:53
香港g1a-VIP,1,339716,331.75KB,2024-02-03 02:11:42
美国1b-VIP,1,20744,20.26KB,2024-02-03 02:13:55
香港g1a-VIP,1,374883,366.1KB,2024-02-03 02:14:43
美国1b-VIP,1,50898,49.71KB,2024-02-03 02:16:56
香港g1a-VIP,1,333932,326.11KB,2024-02-03 02:17:44
不限流量-美国2-VIP,0,2218,0B,2024-02-03 02:18:26
美国1b-VIP,1,21249,20.75KB,2024-02-03 02:19:58
香港g1a-VIP,1,345943,337.83KB,2024-02-03 02:20:44
美国1b-VIP,1,15607,15.24KB,2024-02-03 02:22:59
香港g1a-VIP,1,345998,337.89KB,2024-02-03 02:23:45
美国1b-VIP,1,15417,15.06KB,2024-02-03 02:26:00
香港g1a-VIP,1,353346,345.06KB,2024-02-03 02:26:46
美国1b-VIP,1,43866,42.84KB,2024-02-03 02:29:01
香港g1a-VIP,1,341035,333.04KB,2024-02-03 02:29:46
美国1b-VIP,1,10345,10.1KB,2024-02-03 02:32:02
香港g1a-VIP,1,340026,332.06KB,2024-02-03 02:32:47
美国1b-VIP,1,20744,20.26KB,2024-02-03 02:35:03
香港g1a-VIP,1,339562,331.6KB,2024-02-03 02:35:47
美国1b-VIP,1,15423,15.06KB,2024-02-03 02:38:04
香港g1a-VIP,1,339809,331.84KB,2024-02-03 02:38:48
美国1b-VIP,1,20750,20.26KB,2024-02-03 02:41:06
香港g1a-VIP,1,352548,344.29KB,2024-02-03 02:41:49
美国1b-VIP,1,17289,16.88KB,2024-02-03 02:44:07
香港g1a-VIP,1,347662,339.51KB,2024-02-03 02:44:49
美国1b-VIP,1,35021,34.2KB,2024-02-03 02:47:08
香港g1a-VIP,1,340717,332.73KB,2024-02-03 02:47:50
美国1b-VIP,1,20676,20.19KB,2024-02-03 02:50:10
香港g1a-VIP,1,378674,369.8KB,2024-02-03 02:50:50
美国1b-VIP,1,15488,15.13KB,2024-02-03 02:53:11
香港g1a-VIP,1,353151,344.87KB,2024-02-03 02:53:51
